loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.69635319989175,276.69635319989175,0.0072353002615273,0.09772850014269352,3.0,2.9585065003484488,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.69633969990537,279.69633969990537,0.007879599928855896,0.09781879978254437,1.0,2.857588999904692,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.5964644998312,282.5964644998312,0.0007262998260557652,0.09921539993956685,4.0,2.133186399936676,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,284.7630121996626,0.0001496998593211174,0.09937389986589551,290.762906299904,5.999189099762589,290.97948509966955,290.97948509966955,0.10706499963998795,0.2158641000278294,6.015829499810934,297.0462777996436,297.0462777996436,297.0462777996436,0.07401129975914955,0.18266299972310662,302.7462720000185,302.9462364995852,6.015861799940467,6.115951899904758,308.94629539968446,12.015964599791914,309.0795671995729,309.0795671995729,0.01606859965249896,0.11578609980642796,up,2.0952669004909694,311.21291889995337,6.440002471208572e-05,0.09771460015326738,317.2127686999738,317.2127686999738,0.01044420013204217,0.09794070012867451,3.0,3.5216165999881923,,,,,,,,,309.0462565999478,309.0462565999478,317.2127686999738,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7963925995864,320.7963925995864,0.00819650012999773,0.11403630021959543,4.0,2.5402005002833903,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.3627939997241,323.3627939997241,0.007684099953621626,0.09788159979507327,5.0,2.0911319996230304,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.51305269962177,325.51305269962177,0.008366599678993225,0.11435969965532422,3.0,1.540108900051564,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0794735997915,327.0794735997915,0.008676799945533276,0.09791140025481582,1.0,1.19006140017882,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.3128299997188,328.3128299997188,0.007568600121885538,0.09783999994397163,1.0,1.3249486996792257,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.67947969958186,329.67947969958186,0.007095199543982744,0.09930439991876483,3.0,5.69316970044747,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.4129859996028,335.4129859996028,0.0011160001158714294,0.09819100005552173,4.0,1.8981399000622332,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,337.3463955996558,0.00026850029826164246,0.09766510035842657,343.3461350998841,6.030908400192857,343.5460750996135,343.5460750996135,0.08658500015735626,0.19760939991101623,6.030872399918735,349.64606299996376,349.64606299996376,349.64606299996376,0.08748670015484095,0.19763529999181628,355.3461477998644,355.54612969979644,6.030932100024074,6.130846799816936,361.5460982997902,12.030894599854946,361.6794226998463,361.6794226998463,0.031064500100910664,0.13094939989969134,up,1.719172399956733,363.4461044999771,5.410006269812584e-05,0.09793550008907914,369.4793807999231,369.4793807999231,0.025299400091171265,0.1313543999567628,5.0,3.206941000185907,,,,,,,349.54614229965955,349.54614229965955,361.6461300998926,361.6461300998926,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.71268909983337,372.71268909983337,0.0066290004178881645,0.09938690019771457,3.0,2.727021099999547,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.47947379993275,375.47947379993275,0.006687000393867493,0.09904120024293661,1.0,1.6932740998454392,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.2126384996809,377.2126384996809,0.007369400002062321,0.09777359990403056,4.0,1.5916980998590589,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.84610529989004,378.84610529989004,0.008412699680775404,0.09909099992364645,3.0,1.491419699974358,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.3795495997183,380.3795495997183,0.007166100200265646,0.09796940023079515,1.0,1.6586821000091732,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.07949259970337,382.07949259970337,0.00654279999434948,0.09945570025593042,1.0,3.060560999903828,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.17946109967306,385.17946109967306,0.001738599967211485,0.09895949997007847,4.0,8.631761900149286,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,393.8462882996537,0.000291300006210804,0.09734959993511438,399.86273039970547,6.013954799622297,400.0295456997119,400.0295456997119,0.06819449970498681,0.1809740997850895,6.013997099827975,406.129506399855,406.129506399855,406.129506399855,0.06769929965957999,0.1808867994695902,411.8295814995654,412.0293163997121,6.014006399549544,6.113939099479467,418.0292786997743,12.01399189978838,418.16263669962063,418.16263669962063,0.014224599581211805,0.11394189950078726,up,1.396113300230354,419.5961229996756,5.7999975979328156e-05,0.09783250000327826,425.5959226996638,425.5959226996638,0.007258799858391285,0.09749659989029169,5.0,2.8581757000647485,,,,,,,406.02941409964114,406.02941409964114,418.12928599957377,418.12928599957377,425.5959226996638,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.51284739980474,428.51284739980474,0.007712299935519695,0.1142247999086976,4.0,2.24060279969126,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
