loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_10.stopped,p_port_6.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.9551728013903,319.9551728013903,0.007335498929023743,0.09797249920666218,1.0,2.4915114995092154,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.4885473009199,322.4885473009199,0.0015531983226537704,0.09756899997591972,7.0,3.73045969940722,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,326.25519380159676,0.0005786009132862091,0.09740130044519901,332.25515830144286,6.030763501301408,332.521920600906,332.521920600906,0.1539240013808012,0.26416550017893314,6.03069270029664,338.5552461016923,338.5552461016923,338.5552461016923,0.09155120141804218,0.19738140143454075,344.2551569007337,344.45513550005853,6.030741302296519,6.130758201703429,350.4551007002592,12.03076790086925,350.58841760084033,350.58841760084033,0.030952101573348045,0.1304628010839224,down,3.6821903996169567,354.30523040145636,3.8098543882369995e-05,0.09798539988696575,,360.32166150026023,360.32166150026023,0.023161299526691437,0.11483129858970642,6.0,3.159178299829364,,,,,,,350.5550964009017,350.5550964009017,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.5219110008329,363.5219110008329,0.007164400070905685,0.09773040004074574,5.0,4.5581119004637,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.121610801667,368.121610801667,0.008008599281311035,0.09786370024085045,1.0,4.390762800350785,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.55511810071766,372.55511810071766,0.0064688995480537415,0.09923410043120384,5.0,4.493813801556826,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.08823590166867,377.08823590166867,0.008173299953341484,0.09740019962191582,5.0,3.123659899458289,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.25497120060027,380.25497120060027,0.006481500342488289,0.099107401445508,5.0,7.360366798937321,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.6549647003412,387.6549647003412,0.007376300171017647,0.09866989962756634,2.0,4.758337700739503,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.45513760112226,392.45513760112226,0.001342298462986946,0.09800620004534721,2.0,3.8976592998951674,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
