loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.83506359998137,253.83506359998137,0.008019500062800944,0.09766760002821684,4.0,2.59019839996472,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.48497490002774,256.48497490002774,0.008793000015430152,0.11444440006744117,4.0,2.5398036999395117,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0514839999378,259.0514839999378,0.0015684999525547028,0.09762570005841553,3.0,2.297149500111118,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,261.38478459999897,0.00046550005208700895,0.09671379998326302,267.38476469996385,6.030096100061201,267.60152719996404,267.60152719996404,0.09847299999091774,0.21360530005767941,6.013331699999981,273.66830130002927,273.66830130002927,273.66830130002927,0.06912570004351437,0.1801107000792399,279.36804939992726,279.56816779996734,6.01351750001777,6.11332320002839,285.5680689000292,12.013397200033069,285.7014988999581,285.7014988999581,0.013568100053817034,0.11338930006604642,up,0.6721829000161961,286.43470149999484,4.469999112188816e-05,0.09824710001703352,292.45140150003135,292.45140150003135,292.45140150003135,0.009829099988564849,0.11471709993202239,4.0,4.172367300023325,,,,,,,,,,285.6680536000058,285.6680536000058,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.66832129994873,296.66832129994873,0.007943200063891709,0.11398120003286749,2.0,2.740482199937105,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.4512996999547,299.4512996999547,0.008908100076951087,0.11433030001353472,2.0,1.7736237000208348,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.26803509995807,301.26803509995807,0.011336199939250946,0.11455429997295141,5.0,2.904164499952458,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.20141879993025,304.20141879993025,0.007784299901686609,0.09787830000277609,2.0,1.2909217000706121,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.53473930002656,305.53473930002656,0.0067220000782981515,0.09933680004905909,2.0,1.060269600013271,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.6516531999223,306.6516531999223,0.008437899989075959,0.11419669992756099,2.0,1.7399605999235064,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
