loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_10.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.72312180139124,295.72312180139124,0.001677200198173523,0.09780059941112995,3.0,3.397348200902343,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,299.1564860008657,0.00033250078558921814,0.09777010045945644,305.1563252005726,6.0309402998536825,305.35632720030844,305.35632720030844,0.09199650026857853,0.19770310074090958,6.030890200287104,311.4563784003258,311.4563784003258,311.4563784003258,0.09047490172088146,0.19757520034909248,317.1563055012375,317.35631580092013,6.030935300514102,6.130860600620508,323.35630350001156,12.030929401516914,323.48962699994445,323.48962699994445,0.03116220235824585,0.130833201110363,up,1.6311505995690823,325.1729271002114,4.269927740097046e-05,0.09765509888529778,331.1898111011833,331.1898111011833,331.1898111011833,0.008776199072599411,0.11423149891197681,2.0,2.7399850003421307,,,,,,,311.3564380016178,311.3564380016178,323.45630099996924,323.45630099996924,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.95644510164857,333.95644510164857,0.006584798917174339,0.09900490008294582,5.0,1.7934002988040447,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.78988280147314,335.78988280147314,0.006563600152730942,0.09845949895679951,2.0,2.9929977003484964,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.823083801195,338.823083801195,0.0065279994159936905,0.09900369867682457,3.0,1.6603381000459194,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.53975960053504,340.53975960053504,0.009598400443792343,0.11410750076174736,5.0,3.1720477994531393,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.75649340078235,343.75649340078235,0.007581600919365883,0.11432920023798943,6.0,1.4074566010385752,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.1896177008748,345.1896177008748,0.006483098492026329,0.09932609833776951,3.0,2.0269735995680094,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.2561166007072,347.2561166007072,0.002531999722123146,0.09732110053300858,3.0,3.329561600461602,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,350.6231132000685,0.00014800019562244415,0.09931210055947304,356.62287270091474,5.999047299847007,356.80613220110536,356.80613220110536,0.07790950126945972,0.18243800103664398,6.015694100409746,362.9061255007982,362.9061255007982,362.9061255007982,0.07267170213162899,0.18238050118088722,368.6062232013792,368.80633150041103,6.015884401276708,6.115693401545286,374.80634320154786,12.015891201794147,374.9395373016596,374.9395373016596,0.016011802479624748,0.11574340239167213,up,0.4931822996586561,375.47296890057623,4.4500455260276794e-05,0.09764230065047741,,381.48933310061693,381.48933310061693,0.020729199051856995,0.11408579908311367,3.0,2.1278495993465185,,,,,,,362.8062110003084,362.8062110003084,374.9063221011311,374.9063221011311,6.09904669970274,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
