loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,p_port_10.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.491736079007385,0.0008120997808873653,0.10970330005511642,20.09067146978341,20.390732700005174,20.70750426999293,21.29065326959826,21.60733149992302,21.60733149992302,0.02656749961897731,0.12634539976716042,41.60732849966735,20.026559599675238,41.74066059989855,0.026840599719434977,0.12653409969061613,42.20733989961445,space,1.6876517999917269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.54061959963292,244.54061959963292,0.007073500193655491,0.09805240016430616,1.0,0.4922234998084605,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0735845998861,245.0735845998861,0.006916200276464224,0.09904100000858307,1.0,0.5266461996361613,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.64065369963646,245.64065369963646,0.001090100035071373,0.09809109987691045,6.0,1.4981229999102652,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,247.1739547997713,0.00014619994908571243,0.09918009955435991,253.19040349964052,6.015808999538422,,253.37360269995406,253.37360269995406,0.08482829947024584,0.19915679981932044,5.999227999709547,259.42359020002186,259.42359020002186,259.42359020002186,0.050083999522030354,0.14924629963934422,265.123721299693,265.35717349965125,6.015958399511874,6.115783599670976,271.35699849994853,12.015777899418026,,271.4904392999597,271.4904392999597,0.016003799624741077,0.11569719947874546,up,0.3715809998102486,271.9237700998783,5.650008097290993e-05,0.09777829982340336,277.9198971996084,277.9198971996084,0.005896099843084812,0.09393410012125969,1.0,1.6595767997205257,,,,,,,271.42372369999066,271.42372369999066,277.9198971996084,259.42359020002186,259.42359020002186,6.099088999442756,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.6236868998967,279.6236868998967,0.00757910031825304,0.09809060022234917,1.0,0.7246654001064599,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.39026509970427,280.39026509970427,0.005268900189548731,0.09937090007588267,5.0,1.99531070003286,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.42354229977354,282.42354229977354,0.007694699801504612,0.09774969983845949,6.0,1.3908779001794755,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.87396549992263,283.87396549992263,0.007818100042641163,0.1137638003565371,5.0,1.173915000166744,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.07373779965565,285.07373779965565,0.007536100223660469,0.09783679991960526,1.0,1.5247375001199543,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.6403692997992,286.6403692997992,0.007265499792993069,0.09798929980024695,1.0,0.39163520000874996,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.07371119968593,287.07371119968593,0.0007055001333355904,0.09891299996525049,6.0,1.566219300031662,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,288.6737085999921,0.00021900003775954247,0.09859360009431839,294.6736472998746,6.031785800121725,,294.8735684999265,294.8735684999265,0.09649930009618402,0.19863699981942773,6.031731000170112,300.97390959970653,300.97390959970653,300.97390959970653,0.0889473999850452,0.1986569999717176,306.67357789957896,306.87363029969856,6.031757799908519,6.131709199864417,312.87360599962994,12.031807899940759,,313.0069279996678,313.0069279996678,0.031867699697613716,0.13168249977752566,up,1.3028437001630664,314.37353600002825,4.9099791795015335e-05,0.09809920005500317,320.3903505997732,320.3903505997732,0.009010899811983109,0.11458469973877072,1.0,1.8066030000336468,,,,,,,312.97358099976555,312.97358099976555,320.3903505997732,300.873604899738,300.873604899738,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.2234353995882,322.2234353995882,0.007716000080108643,0.0976766999810934,1.0,0.7912196000106633,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0569556998089,323.0569556998089,0.007237199693918228,0.09786479966714978,5.0,1.6586685995571315,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.756944200024,324.756944200024,0.006487499922513962,0.09915269957855344,1.0,1.4602945996448398,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.25700019998476,326.25700019998476,0.007592800073325634,0.09791700029745698,1.0,1.691283400170505,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.9902724996209,327.9902724996209,0.007051799912005663,0.09821739979088306,7.0,1.9920677999034524,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.04039629967883,330.04039629967883,0.008219399955123663,0.11382189998403192,6.0,1.5402143001556396,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.6069069998339,331.6069069998339,0.001177800353616476,0.09798380034044385,6.0,5.1647395002655685,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
