loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,p_port_7.started,cross.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,,,,,,,,,348.85396949999995,0.00015919999987090705,0.11561119999987568,6.015644299999622,354.8539650999992,354.9669239999994,0.022453399999903922,0.1285554999994929,6.0156726999994135,360.98721099999966,361.0705904999995,0.01665829999910784,0.14890179999929387,1.0,3.133552299999792,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
22,0,22,0,,,,,,,,,,,,,,,,,,364.23724649999986,0.00015489999987039482,0.1157560999999987,6.015576900000269,370.23714629999995,370.37051879999945,0.02666829999998299,0.16567119999945135,5.999114700000064,376.3871024,376.4538384999996,0.016588699999374512,0.14893609999944601,0.0,2.300134000000071,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
23,0,23,0,,,,,,,,,,,,,,,,,,378.7871826999999,0.00026419999994686805,0.11574460000065301,5.999013399999967,384.7871734999999,384.9168695999997,0.04478860000017448,0.14543169999979,5.999124500000107,390.93708849999985,391.0037549999997,0.016616399999293208,0.14911959999972169,1.0,2.366949399999612,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
24,0,24,0,,,,,,,,,,,,,,,,,,393.4037249999992,0.0002601999995022197,0.11543759999949543,6.0152517999995325,399.40373419999923,399.51677369999925,0.03189349999956903,0.12830549999944196,6.031938299999638,405.5202505999996,405.62033319999955,0.01635109999915585,0.14866979999897012,0.0,1.8000823000002129,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
25,0,25,0,,,,,,,,,,,,,,,,,,407.4537375,0.0001542999998491723,0.11571790000016335,5.999042599999484,413.4536122999998,413.5498975999999,0.01040619999912451,0.1120558999991772,6.015803799999958,419.55353449999984,419.6702536999992,0.016542599999411323,0.14925029999903927,0.0,2.6001970999996047,6.099065499999597,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
26,0,26,0,,,,,,,,,,,,,,,,,,422.3035596999998,0.00022470000021712622,0.1155852000001687,6.011877800000548,428.3203053999996,428.42024019999917,0.02803559999938443,0.14887110000017856,6.015476300000046,434.43682139999964,434.5201889,0.01642439999977796,0.148836599999413,0.0,1.7336171999995713,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
27,0,27,0,,,,,,,,,,,,,,,,,,436.2868590999997,0.00015350000012404053,0.11563490000025922,6.015600099999574,442.2867632999996,442.4201174,0.03192909999961557,0.16191599999910977,6.032203199999458,448.4367179999999,448.50341859999935,0.016299499999149702,0.14889369999946211,1.0,1.6668049999998402,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
28,0,28,0,,,,,,,,,,,,,,,,,,450.2034724999994,0.00015770000027259812,0.11571830000048067,6.01201889999993,456.2164367999994,456.3200533999998,0.023857799999859708,0.14907010000024457,6.015671199999815,462.33668079999916,462.4200278999997,0.016233999999712978,0.14903209999920364,0.0,1.1674495999995997,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
29,0,29,0,,,,,,,,,,,,,,,,,,463.6200119999994,0.00015280000025086338,0.11573849999967933,6.012079300000551,469.6366750999996,469.75334079999993,0.03471039999931236,0.16584469999997964,5.999076499999319,475.76990079999996,475.8366318999997,0.016428799999630428,0.14905819999967207,3.0,2.2669918999999936,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
30,0,30,0,,,,,,,,,,,,,,,,,,478.13668549999966,0.00015829999938432593,0.11554549999982555,6.011852699999508,484.1531565999994,484.26986899999974,0.04104119999919931,0.1656011999994007,6.03227489999972,490.2864680999992,490.3531911,0.01622489999863319,0.14887939999880473,0.0,5.266924800000197,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
31,0,31,0,,,,,,,,,,,,,,,,,,495.6532310999992,0.00016000000050553354,0.11562210000010964,6.01559240000006,501.65316859999984,501.76988059999985,0.02593539999998029,0.1489795999996204,6.015744499999528,507.78638259999934,507.8698112999991,0.016570399999181973,0.14903509999930975,4.0,1.7667904999998427,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
32,0,32,0,,,,,,,,,,,,,,,,,,509.6697719999993,0.000167199999850709,0.11556199999995442,6.015564599999379,515.6697502999996,515.7827203999996,0.027131399999234418,0.12859299999945506,6.0155839999997625,521.8029905999992,521.8864569999996,0.016348299998753646,0.14890839999952732,3.0,1.3335479999996096,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
