loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.390081846714018,0.0007764995098114014,0.11737019941210747,15.987801649048924,16.587860448658468,16.887840200215578,17.187851949036123,17.50457390025258,17.50457390025258,0.017585398629307747,0.11754489876329899,32.50433939881623,15.000581700354815,32.62131579965353,0.0011030007153749466,0.10082560032606125,33.07099529914558,space,1.2579705007374287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,279.6542827989906,0.00032899901270866394,0.0979251004755497,285.6371943000704,6.014530200511217,285.82055009901524,285.82055009901524,0.0596149992197752,0.16476730071008205,6.031168699264526,291.9538758993149,291.9538758993149,291.9538758993149,0.09336720034480095,0.1978485006839037,297.65389179997146,297.85387159883976,6.031216600909829,6.131273301318288,303.8538629002869,12.031240001320839,303.98729799874127,303.98729799874127,0.03146140091121197,0.1312906015664339,up,2.2369887996464968,306.28719099983573,4.279986023902893e-05,0.098021000623703,312.3042442984879,312.3042442984879,0.024763399735093117,0.11471590027213097,6.0,1.957660399377346,,,,,,,291.82055339962244,291.82055339962244,303.9539378993213,303.9539378993213,6.097685199230909,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.3038147985935,314.3038147985935,0.0069135986268520355,0.0980530995875597,3.0,2.2928627002984285,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.6371503993869,316.6371503993869,0.00725569948554039,0.09916239976882935,5.0,1.9262160994112492,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.603814098984,318.603814098984,0.006782699376344681,0.09925780072808266,4.0,5.627273801714182,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.27058159932494,324.27058159932494,0.008557198569178581,0.09746040031313896,3.0,2.556902000680566,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.8704779986292,326.8704779986292,0.007145799696445465,0.0973947998136282,3.0,1.8579709995537996,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.78728279843926,328.78728279843926,0.008675800636410713,0.11460470035672188,3.0,2.8403733000159264,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.653904998675,331.653904998675,0.0007194001227617264,0.09895640052855015,3.0,2.89952389895916,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,334.58734349906445,0.0002732016146183014,0.09796970151364803,340.58703929930925,6.031272200867534,340.853544799611,340.853544799611,0.14824840053915977,0.264605401083827,6.031217901036143,346.8869623001665,346.8869623001665,346.8869623001665,0.08658160082995892,0.19814050197601318,352.5869951993227,352.7870054990053,6.031243700534105,6.131138501688838,358.78711929917336,12.03137000091374,358.92031409963965,358.92031409963965,0.03138530254364014,0.13104090094566345,down,1.6406221017241478,360.6203329991549,4.5999884605407715e-05,0.0980651006102562,366.65355909988284,366.65355909988284,0.02752850018441677,0.1313382014632225,6.0,2.37159620039165,,,,,,,,,358.8869604989886,358.8869604989886,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0705273002386,369.0705273002386,0.008723100647330284,0.11454140022397041,5.0,2.406801899895072,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
