loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.142548250732943,0.0008366000838577747,0.10366160003468394,14.45840339967981,14.724823789903894,15.024887399747968,15.325280089629814,15.624961499590427,15.924849689705297,16.258289999794215,0.005166700109839439,0.10389750031754375,31.275008799973875,15.020314500201494,31.358353599905968,0.003771000076085329,0.10363620007410645,31.825007599778473,space,5.807703000027686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.87536379974335,244.87536379974335,0.008382100146263838,0.11447810009121895,4.0,1.4738495000638068,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.37495349999517,246.37495349999517,0.006894499994814396,0.09944579983130097,4.0,1.026904699858278,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.44178099976853,247.44178099976853,0.0014937003143131733,0.0976498001255095,4.0,6.497339800000191,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,253.97527939965948,0.00015870016068220139,0.09906100016087294,259.97500549955294,5.999080600216985,260.17510079964995,260.17510079964995,0.09202100010588765,0.19914739998057485,5.999085200019181,266.2417546999641,266.2417546999641,266.2417546999641,0.056242499966174364,0.1658568000420928,271.9416883997619,272.1418312997557,5.999290000181645,6.099084299989045,278.1416972996667,11.999137199949473,278.27501569967717,278.27501569967717,-5.220016464591026e-05,0.09919179975986481,up,1.2142476998269558,279.541783799883,2.840021625161171e-05,0.09890800016000867,285.54169129999354,285.54169129999354,0.00875970022752881,0.09877770021557808,2.0,14.757825199980289,,,,,,,266.2417546999641,266.2417546999641,6.099139099940658,278.2416616999544,278.2416616999544,12.099138699937612,285.54169129999354,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.3415196998976,300.3415196998976,0.006318900268524885,0.09927990008145571,5.0,4.293811700306833,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.6748483995907,304.6748483995907,0.006372099742293358,0.0995392999611795,5.0,11.794095499906689,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.5083285998553,316.5083285998553,0.007505299989134073,0.09796150028705597,3.0,4.324498800095171,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.875197599642,320.875197599642,0.006411700043827295,0.09921439969912171,3.0,3.9939856003038585,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.9081864999607,324.9081864999607,0.007102100178599358,0.09823220036923885,4.0,2.4255176996812224,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.3749304995872,327.3749304995872,0.006408299785107374,0.09903289983049035,1.0,3.893776999786496,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.3085902999155,331.3085902999155,0.0012149997055530548,0.09790739975869656,4.0,5.931015100330114,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
