loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,p_port_6.started,fixation_cross.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.3327242999803,318.3327242999803,0.006592199904844165,0.1323821998666972,3.0,2.027044399874285,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.39960239990614,320.39960239990614,0.006879199994727969,0.13255109987221658,1.0,1.493187600048259,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.93272950011306,321.93272950011306,0.008389899972826242,0.1316589000634849,3.0,6.357500500045717,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.332754699979,328.332754699979,0.00802129996009171,0.1315188999287784,6.0,2.0913887000642717,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.46627099998295,330.46627099998295,0.0012886999174952507,0.13099159998819232,2.0,3.6980242000427097,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,334.19940520008095,0.00018500001169741154,0.13253069994971156,5.999102599918842,340.2159607000649,340.38269719993696,340.38269719993696,0.06832579988986254,0.2157667998690158,6.0156267997808754,346.4826929999981,346.4826929999981,346.4826929999981,0.070717099821195,0.21581609966233373,352.2160706000868,352.4161092999857,6.015613499796018,6.149068099679425,358.4494052999653,12.015627399785444,358.5160727999173,358.5160727999173,0.015879899729043245,0.14894899958744645,up,1.5235069999471307,360.08273899997585,8.110003545880318e-05,0.13121969997882843,366.11609939998016,366.11609939998016,0.025216199923306704,0.1643304000608623,1.0,2.0069675999693573,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.14917810005136,368.14917810005136,0.008108400041237473,0.13084870018064976,1.0,2.757475000107661,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.9492625000421,370.9492625000421,0.00641649984754622,0.13204810000024736,5.0,2.460030699847266,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.44927920005284,373.44927920005284,0.006914400029927492,0.13263439992442727,6.0,2.4265101000200957,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.9330285000615,375.9330285000615,0.009409799939021468,0.14787679980508983,1.0,1.7727442998439074,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.73275729990564,377.73275729990564,0.00878859986551106,0.13098239991813898,1.0,1.589707599952817,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.36589380004443,379.36589380004443,0.007307399995625019,0.13132379995658994,2.0,2.6250674000475556,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.03282499988563,382.03282499988563,0.0012760001700371504,0.13148370012640953,7.0,3.8647344999480993,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,385.9326158000622,0.0004759998992085457,0.13065459998324513,6.03064679983072,391.96592839993536,392.1330534000881,392.1330534000881,0.09495879989117384,0.23051089979708195,6.030773899750784,398.2325792000629,398.2325792000629,398.2325792000629,0.08581769978627563,0.23053799965418875,403.9660275001079,404.1326985999476,6.030682999640703,6.163862599758431,410.1658644999843,12.030497199622914,410.2658776999451,410.2658776999451,0.030690899584442377,0.1638162995222956,up,0.4134589000605047,410.732587199891,4.369998350739479e-05,0.13119710003957152,416.76565789990127,416.76565789990127,0.041989400051534176,0.16464370000176132,1.0,6.09014969994314,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.8992041000165,422.8992041000165,0.0067708001006394625,0.13267339998856187,5.0,1.4599576001055539,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
6,0,6,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.3992723999545,424.3992723999545,0.00686300010420382,0.13102540001273155,1.0,2.458826599875465,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
6,0,6,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.8992790998891,426.8992790998891,0.0070697998162359,0.13130709994584322,2.0,1.8253780000377446,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
6,0,6,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.76586810010485,428.76586810010485,0.007430699886754155,0.13143339985981584,1.0,2.0581565001048148,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
6,0,6,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.8657666000072,430.8657666000072,0.006930999923497438,0.13269830006174743,2.0,2.8933722998481244,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
6,0,6,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.79916819999926,433.79916819999926,0.0071888999082148075,0.1311818000394851,6.0,2.3253099999856204,,,,,,,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.16598029993474,436.16598029993474,0.0009928001090884209,0.13149710022844374,6.0,3.198354900116101,,,,,6164,Moral,2025-02-07_10h37.18.903,MoralCondition_v2,2022.2.5,59.92387266267894,
