loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.23379017964471,0.0010952999582514167,0.11198569997213781,17.813622170081363,18.113765400019474,18.414146469975822,18.713892100029625,19.01366837003734,19.347032300080173,0.014492499991320074,0.1119173999177292,34.36370420001913,15.02847959997598,34.44706849998329,0.011882200022228062,0.11191710003186017,34.91383840003982,space,0.9959328999975696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.03005820000544,234.03005820000544,0.006642900058068335,0.09896000009030104,1.0,1.7601493999827653,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.82990000001155,235.82990000001155,0.0075628000777214766,0.0976860000519082,1.0,1.4245492999907583,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.29642260004766,237.29642260004766,0.0017457000212743878,0.09713919996283948,7.0,2.396724699996412,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,239.73029010009486,0.000282399938441813,0.09783510002307594,245.74657509999815,6.014445499982685,,245.96325900009833,245.96325900009833,0.11746229999698699,0.23128970002289861,6.031256100046448,252.03001079999376,252.03001079999376,252.03001079999376,0.08967880008276552,0.19806960003916174,257.7298732000636,257.9299119000789,6.031191800022498,6.131046400056221,263.929845900042,12.031094899983145,264.0428609000519,264.0428609000519,0.03122950007673353,0.11062650009989738,up,0.5384692000225186,264.6300224000588,1.780001912266016e-05,0.09961969999130815,270.64633990009315,270.64633990009315,0.021845300099812448,0.11616149998735636,2.0,2.395446600043215,,,,,,,,,264.0298250000924,264.0298250000924,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.09679970005527,273.09679970005527,0.007365399971604347,0.11384560004808009,1.0,1.0740129000041634,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.1964408000931,274.1964408000931,0.00705219991505146,0.09779629996046424,7.0,1.4253046000376344,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.66302550002,275.66302550002,0.006838699919171631,0.09922739991452545,2.0,1.0933680000016466,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.81336999998894,276.81336999998894,0.008778000017628074,0.11449770000763237,1.0,2.373590699979104,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.213210200076,279.213210200076,0.006523500080220401,0.0991563000716269,2.0,1.4603362999623641,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.7130578000797,280.7130578000797,0.006832100101746619,0.09933130000717938,6.0,1.3599979999708012,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
