loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,,,,,,,,337.86016870010644,0.00027320021763443947,0.0988420001231134,343.8601803998463,6.032290800008923,343.9930683998391,0.035678000189363956,0.13192539988085628,5.999040800146759,349.9932113001123,350.05980970012024,0.0019212998449802399,0.09877269994467497,1.0,2.7642528996802866,,6.098583200015128,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
20,0,20,0,,,,,,,,,,,,,,,,,352.86009089974687,0.0004879999905824661,0.09745449991896749,358.86004639975727,6.030752199701965,359.0766072999686,0.1108799995854497,0.21394519973546267,6.013871199917048,,365.07652399968356,0.016638399567455053,0.11385289952158928,0.0,1.7314410000108182,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
21,0,21,0,,,,,,,,,,,,,,,,,366.84360509971157,0.0007783998735249043,0.09685939969494939,372.8598897000775,6.013484499882907,372.99315200001,0.045449599623680115,0.14681189972907305,6.013491099700332,378.99320370005444,379.05972060002387,0.016276399604976177,0.11345249973237514,0.0,2.5318283000960946,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
22,0,22,0,,,,,,,,,,,,,,,,,381.6267919000238,0.0003046998754143715,0.09899049997329712,387.6266302000731,5.999001699965447,387.7434362997301,0.0156912999227643,0.11598219955340028,6.015682299621403,393.7432397999801,393.8432124997489,0.018261899705976248,0.11587749980390072,0.0,1.265087699983269,6.099101599771529,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
23,0,23,0,,,,,,,,,,,,,,,,,395.14342679968104,0.0004909997805953026,0.09714270010590553,401.15984499966726,6.013715900015086,401.27642979985103,0.028309499844908714,0.13046099990606308,6.030399499926716,407.25967240007594,407.35984109994024,0.015485599637031555,0.11371419951319695,0.0,1.3658078000880778,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
24,0,24,0,,,,,,,,,,,,,,,,,408.75986819993705,0.0007203002460300922,0.09693949995562434,414.7764846999198,6.01357559999451,414.8932802998461,0.03224859992042184,0.1304538999684155,6.030245400033891,420.8934100000188,420.9764824998565,0.015573599841445684,0.11351210018619895,0.0,1.3658039001747966,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
25,0,25,0,,,,,,,,,,,,,,,,,422.37670819973573,0.00021660001948475838,0.1160214003175497,428.3764839996584,5.999045700300485,428.4931128998287,0.01421960024163127,0.11575279990211129,6.015727400314063,434.49315840005875,434.59299039980397,0.01831369986757636,0.11566299991682172,3.0,3.5317811998538673,6.099045300390571,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
26,0,26,0,,,,,,,,,,,,,,,,,438.16004149988294,0.0006347000598907471,0.09710060013458133,444.159857199993,6.030425400007516,444.32632379978895,0.06687099998816848,0.1636557998135686,6.030290300026536,450.326436100062,450.39310029987246,0.03312949975952506,0.13027029996737838,3.0,4.231663499958813,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
27,0,27,0,,,,,,,,,,,,,,,,,454.66012510005385,0.0001584002748131752,0.099352499935776,460.6597555000335,5.999197599943727,460.87668409990147,0.08497870014980435,0.2160216998308897,6.01571760000661,,466.87631350010633,0.018411700148135424,0.11598569992929697,0.0,1.7318453001789749,6.09906110027805,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
28,0,28,0,,,,,,,,,,,,,,,,,468.6433039000258,0.00040319981053471565,0.09742040000855923,474.65975870005786,6.01435220008716,474.7931127999909,0.047718700021505356,0.14738699980080128,6.014175099786371,480.7930699000135,480.85984699986875,0.01676379982382059,0.11392289958894253,2.0,2.464903799816966,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
