loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.580411699484102,0.002488899976015091,0.1082882999908179,18.17586820999859,18.49247870000545,18.792538510018495,19.10918839997612,19.3758776100236,19.709155300050043,19.709155300050043,0.04171430005226284,0.14179070002865046,34.70901520003099,15.024867999949493,34.80907399998978,0.008137500029988587,0.12513840000610799,35.29248709999956,space,0.6995129000861198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.59288210002705,295.59288210002705,0.008632699958980083,0.11420869990251958,1.0,2.3731167999794707,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.9925346999662,297.9925346999662,0.007874300004914403,0.09770860010758042,4.0,2.2908245000289753,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.3261182999704,300.3261182999704,0.0007216999074444175,0.09913949994370341,6.0,7.266403200104833,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,307.62630360003095,0.00037610006984323263,0.09733989997766912,313.6259366000304,6.013890200061724,313.8094956999412,313.8094956999412,0.06544060003943741,0.18070470006205142,6.013938200077973,319.9094227999449,319.9094227999449,319.9094227999449,0.06580860004760325,0.18044700007885695,325.60951850004494,325.80952040001284,6.014068600023165,6.113930800114758,331.80942339997273,12.013951300061308,331.94274840003345,331.94274840003345,0.014231800101697445,0.1137464001076296,up,0.9608518000459298,332.95945510000456,3.899994771927595e-05,0.09806979994755238,338.9592849999899,338.9592849999899,338.9592849999899,0.009178400039672852,0.09803879994433373,5.0,9.22332660004031,,,,,,,319.80953560001217,319.80953560001217,331.9094415999716,331.9094415999716,6.09711780003272,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.22589050000533,348.22589050000533,0.007760000065900385,0.09775770001579076,1.0,7.85759019991383,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.12612120003905,356.12612120003905,0.007088900078088045,0.09913410001900047,5.0,2.9597388999536633,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.12614860001486,359.12614860001486,0.006738599971868098,0.09911339997779578,2.0,2.926869200076908,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.09284739999566,362.09284739999566,0.006558799999766052,0.09919009997975081,5.0,2.3606509999372065,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.50938780000433,364.50938780000433,0.010712299961596727,0.11471680004615337,5.0,1.80487130000256,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.3426554000471,366.3426554000471,0.006506299949251115,0.09913779993075877,4.0,4.99364370002877,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.37619730003644,371.37619730003644,0.0015623000217601657,0.09761719999369234,2.0,3.4304813999915496,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,374.84308180003427,0.0002590999938547611,0.09787749999668449,380.8428014999954,6.0311745998915285,381.12599800003227,381.12599800003227,0.17097909993026406,0.2812376000219956,6.014461599988863,387.1263298999984,387.1263298999984,387.1263298999984,0.06762650003656745,0.18130149994976819,392.8261640999699,393.0261027000379,6.014489499968477,6.1144500999944285,399.02611830004025,12.014484800049104,399.15945010003634,399.15945010003634,0.014603100018575788,0.114512600004673,up,0.3524833000265062,399.5594567999942,4.099996294826269e-05,0.09773759997915477,,405.5760206000414,405.5760206000414,0.025684199994429946,0.1144906000699848,5.0,12.523402399965562,,,,,,,,,399.12607999995816,399.12607999995816,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.1427660000045,418.1427660000045,0.007331299944780767,0.09801850002259016,4.0,3.1912284999853,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.39301530004013,421.39301530004013,0.007912500062957406,0.11427709995768964,1.0,1.8738709000172094,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
