loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.029036119580269,0.0008000999223440886,0.11409759987145662,14.328725199913606,14.628522719955072,15.228619019966573,15.52851269999519,15.828468619845808,16.145230899797752,16.145230899797752,0.030987699748948216,0.13111739978194237,31.16194639983587,15.014352499740198,31.24502049991861,0.014366299845278263,0.09765539970248938,31.7452737998683,space,1.4927432998083532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.07814230001532,241.07814230001532,0.0074974000453948975,0.09798720013350248,3.0,2.7580744998995215,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.8782549998723,243.8782549998723,0.007252800045534968,0.0994571999181062,2.0,2.692950699944049,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.6116902998183,246.6116902998183,0.0013689999468624592,0.09794409992173314,7.0,2.831027900101617,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,249.47843289980665,0.00013560010120272636,0.09913099999539554,255.47815219988115,5.999257900053635,255.66144299996085,255.66144299996085,0.07041150005534291,0.18244439992122352,6.0158621000591666,261.7616073999088,261.7616073999088,261.7616073999088,0.07290059980005026,0.18279099999926984,267.4614659999497,267.6614893998485,6.015816799830645,6.115729299839586,273.6615204999689,12.01584169990383,273.7614580998197,273.7614580998197,273.7948842998594,273.7948842998594,0.01593149988912046,0.11571429972536862,down,1.123199800029397,274.9614512999542,5.019991658627987e-05,0.09778800001367927,,280.97838089987636,280.97838089987636,0.025600099936127663,0.114633500110358,7.0,1.2897928999736905,,,,,,,,,6.099139100173488,261.6614449999761,261.6614449999761,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.31144419987686,282.31144419987686,0.008003000169992447,0.09794240002520382,7.0,0.9907410000450909,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.36176160001196,283.36176160001196,0.008177699986845255,0.11489260010421276,1.0,1.4741595999803394,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.8783200997859,284.8783200997859,0.008603400085121393,0.11452420009300113,7.0,1.641786799998954,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.5447782999836,286.5447782999836,0.007053400157019496,0.09886489994823933,7.0,0.9930046999361366,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.57814729982056,287.57814729982056,0.006890200078487396,0.09908040007576346,1.0,1.4600074000190943,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.07811759994365,289.07811759994365,0.007027799962088466,0.09889969998039305,6.0,2.85952669987455,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
