loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_10.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.59697279985994,284.59697279985994,0.0009404998272657394,0.09836630010977387,6.0,4.698763200081885,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,289.33057909971103,0.00015479978173971176,0.09918210003525019,295.33024659985676,6.0158123997971416,295.5134642999619,295.5134642999619,0.06910450011491776,0.18247029976919293,6.0156184998340905,301.5969187999144,301.5969187999144,301.5969187999144,0.0670592999085784,0.16604299983009696,307.2971383999102,307.4971008999273,5.999371299985796,6.099126499611884,313.49690959975123,11.999188399873674,313.630230799783,313.630230799783,-2.0300503820180893e-05,0.09908709954470396,down,0.39144020015373826,314.0634074998088,0.00010569998994469643,0.09813159983605146,320.0969100999646,320.0969100999646,0.02687729988247156,0.13147659972310066,7.0,2.3388471002690494,,,,,,,313.5969161000103,313.5969161000103,301.4970193998888,301.4970193998888,,6.099129399750382,12.099146299995482,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.4641220998019,322.4641220998019,0.006956600118428469,0.09695969987660646,5.0,3.3579667997546494,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.8804310001433,325.8804310001433,0.007801100146025419,0.11404470028355718,5.0,2.040732499677688,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.9469443000853,327.9469443000853,0.007519899867475033,0.09825839987024665,5.0,2.59170540003106,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.59716300014406,330.59716300014406,0.008335299789905548,0.1143316999077797,7.0,1.8403738997876644,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.4634064999409,332.4634064999409,0.007607799954712391,0.09746409999206662,1.0,2.1580615998245776,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.6633989997208,334.6633989997208,0.0067712003365159035,0.09942260012030602,1.0,1.1270527001470327,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.83031109999865,335.83031109999865,0.0007958998903632164,0.09933379990980029,1.0,2.79928719997406,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,338.6636844999157,0.00023450003936886787,0.09835619991645217,344.64666169974953,6.014785700011998,344.8469523997046,344.8469523997046,0.06974419998005033,0.18164590001106262,6.014943799935281,350.9470047997311,350.9470047997311,350.9470047997311,0.0702450000680983,0.1817582999356091,356.6467602001503,356.8467780998908,6.0149396997876465,6.114934499841183,362.8467733999714,12.01494239969179,362.98013440007344,362.98013440007344,0.01520179957151413,0.11486449977383018,down,3.8341516996733844,366.8801174997352,4.730001091957092e-05,0.09795079985633492,372.89760150015354,372.89760150015354,0.011665599886327982,0.11472930014133453,6.0,3.6707286997698247,,,,,,,362.9467723998241,362.9467723998241,350.84681909997016,350.84681909997016,372.89760150015354,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
