loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.62091870000586,307.62091870000586,0.007337099872529507,0.09766039997339249,4.0,2.191289700102061,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.8545587998815,309.8545587998815,0.00157589977607131,0.09750459995120764,2.0,5.2972554001025856,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,315.1879365001805,0.0003007999621331692,0.0976654002442956,321.1876876000315,6.030803999863565,321.3875056002289,321.3875056002289,0.09015640011057258,0.19746939977630973,6.0307868998497725,327.48764979979023,327.48764979979023,327.48764979979023,0.09634379995986819,0.1975463000126183,333.1877692001872,333.3877149000764,6.030852499883622,6.13079039985314,339.38783980021253,12.030981599818915,339.4877149001695,339.4877149001695,339.5210665999912,339.5210665999912,0.030984099954366684,0.130806399974972,up,0.4407568001188338,340.0210521998815,5.8200210332870483e-05,0.09810660034418106,346.03772309981287,346.03772309981287,0.025824600365012884,0.11461970023810863,5.0,5.089938000310212,,,,,,,,327.3877844000235,327.3877844000235,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.17108519980684,351.17108519980684,0.007421300280839205,0.0976802003569901,3.0,2.5577941997908056,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.77122859982774,353.77122859982774,0.00648139975965023,0.09922460000962019,1.0,1.3269829996861517,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.13772490015253,355.13772490015253,0.007695999927818775,0.09789479989558458,2.0,2.6577668003737926,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.85459910007194,357.85459910007194,0.007721399888396263,0.114138999953866,1.0,1.1074439999647439,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.9876252999529,358.9876252999529,0.006713099777698517,0.09934639977291226,1.0,0.9935161001048982,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0211451998912,360.0211451998912,0.009064600337296724,0.09790829988196492,1.0,2.4565365999005735,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.5211604000069,362.5211604000069,0.0013357000425457954,0.09843949973583221,7.0,3.831746000330895,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,366.3879609000869,0.00020880019292235374,0.09851799998432398,372.40439169993624,6.015198600012809,372.5710132000968,372.5710132000968,0.07577059976756573,0.18220579996705055,6.015356199815869,378.6708748000674,378.6708748000674,378.6708748000674,0.07468240009620786,0.18190379999578,384.3711910001002,384.57105439994484,6.015242699999362,6.115276399999857,390.5710569000803,12.0152439000085,390.6710475999862,390.6710475999862,390.70442580012605,390.70442580012605,0.015397300012409687,0.11520259967073798,up,0.4814142002724111,391.2210145997815,1.9799917936325073e-05,0.09920889977365732,397.2545444997959,397.2545444997959,0.02620009984821081,0.13258299976587296,5.0,4.97407259978354,,,,,,,,378.5710486001335,378.5710486001335,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.2544908998534,402.2544908998534,0.008995700161904097,0.09830950014293194,5.0,1.8237716001458466,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.1209770999849,404.1209770999849,0.007979100104421377,0.09899750025942922,4.0,3.392038300167769,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.55445449985564,407.55445449985564,0.007189000025391579,0.09802519995719194,2.0,4.4585878001526,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.05440849997103,412.05440849997103,0.006583999842405319,0.099240199662745,2.0,1.660267099738121,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.75436979997903,413.75436979997903,0.008567700162529945,0.09909729985520244,2.0,1.6248578997328877,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.42083350010216,415.42083350010216,0.007747899740934372,0.09805200016126037,1.0,1.3245720001868904,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.78771399986,416.78771399986,0.0013282997533679008,0.09775419998914003,7.0,3.964056400116533,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,420.78791050007567,0.00028460007160902023,0.09772279998287559,426.80436450010166,6.014246500097215,426.9710379000753,426.9710379000753,0.07743659988045692,0.1810052995570004,6.014437199570239,433.07102379994467,433.07102379994467,433.07102379994467,0.07733779959380627,0.18102099979296327,438.7710011000745,438.97087759990245,6.0141162998043,6.114262999501079,444.971103399992,12.014389999676496,445.0711058001034,445.0711058001034,445.10434649977833,445.10434649977833,0.014594399370253086,0.11434069974347949,up,3.4969450002536178,448.6377066001296,4.0699727833271027e-05,0.09778330009430647,454.65418549999595,454.65418549999595,0.025976500008255243,0.11467269994318485,3.0,4.822915700264275,,,,,,,,432.97101109987125,432.97101109987125,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
