loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0441429000348,295.0441429000348,0.007510300725698471,0.097579101100564,1.0,2.491786999627948,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.5777272991836,297.5777272991836,0.008342700079083443,0.09751619957387447,3.0,5.223589899018407,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.8442652989179,302.8442652989179,0.0011889990419149399,0.09793270006775856,7.0,5.431600799784064,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,308.31108650006354,0.000546799972653389,0.09748880006372929,314.294191500172,6.013997100293636,314.47802409902215,314.47802409902215,0.05673230066895485,0.1642781998962164,6.031024901196361,320.59449269995093,320.59449269995093,320.59449269995093,0.06985610164701939,0.1810832004994154,326.2943648993969,326.4944205991924,6.014261601492763,6.114042202010751,332.4943345990032,12.014176901429892,332.6276452988386,332.6276452988386,0.014342401176691055,0.11417720094323158,up,6.595832102000713,339.26106490008533,4.3800100684165955e-05,0.09779249876737595,345.2776900995523,345.2776900995523,345.2776900995523,0.007859699428081512,0.11443349905312061,3.0,7.141086898744106,,,,,,,320.46103929914534,320.46103929914534,332.59432209841907,332.59432209841907,6.097378900274634,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.44421299919486,352.44421299919486,0.006415700539946556,0.09914360009133816,2.0,3.39363850094378,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.8776631001383,355.8776631001383,0.00862099975347519,0.09826900064945221,5.0,2.9911865014582872,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.9109985996038,358.9109985996038,0.006213400512933731,0.09902780130505562,5.0,4.660419501364231,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.6110152993351,363.6110152993351,0.007216401398181915,0.09773310087621212,2.0,4.158225601539016,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.81096549890935,367.81096549890935,0.006339600309729576,0.09911900013685226,2.0,3.8272019010037184,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.67754280008376,371.67754280008376,0.0063765998929739,0.09747730009257793,5.0,3.825644599273801,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
