loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,,187.59528779995162,0.0006219999631866813,0.09724349994212389,193.59533769998234,6.030664099962451,193.81215390004218,0.09915779996663332,0.2140701999887824,6.013915300020017,199.8119123999495,0.016612799954600632,0.11384020000696182,0.0,2.3648872000630945,,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
10,0,10,0,,,,,,,,,,,,,,,,,,202.2119581999723,0.0004910000134259462,0.09695949999149889,208.19516630005091,6.01349509996362,208.3451693999814,0.036336999968625605,0.1302552999695763,6.03007430001162,214.42851919995155,0.015572400065138936,0.11391399998683482,1.0,0.9323269999586046,214.32846640003845,6.096845400054008,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
11,0,11,0,,,,,,,,,,,,,,,,,,215.39527149999049,0.0006813000654801726,0.09712460008449852,221.41193960001692,6.013705300050788,221.62863389996346,0.0861017000861466,0.23061910003889352,6.030526300077327,227.62862550001591,0.03332640009466559,0.13058950006961823,0.0,1.4981631999835372,,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
12,0,12,0,,,,,,,,,,,,,,,,,,229.16220719995908,0.00022099993657320738,0.09917489998042583,235.16208809998352,5.999158899998292,235.2953793000197,0.030935400049202144,0.13268339994829148,5.999120599939488,241.36192920000758,0.0027614999562501907,0.09933200001250952,0.0,0.99723229999654,241.29526899999473,6.09902800002601,6.099180100020021,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
13,0,13,0,,,,,,,,,,,,,,,,,,242.39547490002587,0.0002183000324293971,0.0994919000659138,248.41203340003267,6.015932600013912,248.52859690005425,0.03310830006375909,0.13260620005894452,5.999165600049309,254.59514620003756,0.0016185001004487276,0.09929560008458793,0.0,1.3656613000202924,254.52853620005772,,6.099247600068338,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
14,0,14,0,,,,,,,,,,,,,,,,,,255.99531350005418,0.0006305000279098749,0.09710929996799678,262.01186139998026,6.01373520004563,262.12848880002275,0.030464100069366395,0.13042090006638318,6.0304317000554875,268.22845729999244,0.033249800093472004,0.13037240004632622,1.0,1.5983286999398842,268.1285215000389,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
15,0,15,0,,,,,,,,,,,,,,,,,,269.8620312999701,0.00021980004385113716,0.09918959997594357,275.8618965999922,5.999156599980779,275.9787534000352,0.023598400061018765,0.11589130002539605,6.015824200003408,282.0784365000436,0.01861500006634742,0.11584270000457764,0.0,1.1316231000237167,281.9785587999504,6.098887000000104,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
16,0,16,0,,,,,,,,,,,,,,,,,,283.2455033999868,0.0002215000567957759,0.09922019997611642,289.2617561999941,6.015750000020489,289.3783684000373,0.04069130006246269,0.13274759997148067,5.999033599975519,295.4450246000197,0.002366800094023347,0.09897310007363558,2.0,2.264386700000614,295.37849170004483,,6.09903490007855,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
17,0,17,0,,,,,,,,,,,,,,,,,,297.74517180002294,0.00037969998084008694,0.09776909998618066,303.7451320999535,6.031124199973419,303.9116783000063,0.0674390000058338,0.16437800007406622,6.031065200106241,309.978327000048,0.033833300112746656,0.1312324000755325,0.0,1.0317443000385538,309.9118149999995,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
18,0,18,0,,,,,,,,,,,,,,,,,,311.04510540002957,0.0005510000046342611,0.09739319991786033,317.06169989996124,6.014073899947107,317.5785329999635,0.2639398999745026,0.5306723000248894,6.010321300011128,323.26168660004623,0.01688470004592091,0.11392120004165918,2.0,1.3311407000292093,,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
19,0,19,0,,,,,,,,,,,,,,,,,,324.62873170000967,0.0005177999846637249,0.0969463000074029,330.6450606000144,6.013810800039209,330.76178199995775,0.029137499979697168,0.13063979998696595,6.0302407999988645,336.8449258999899,0.0163645000429824,0.11370840005110949,0.0,0.9650005000876263,336.7449384999927,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
20,0,20,0,,,,,,,,,,,,,,,,,,337.84535289998166,0.00047099997755140066,0.09712679998483509,343.828194300062,6.013553999946453,343.96171349997167,0.016533600050024688,0.11401310004293919,6.01391830004286,350.06166110001504,0.016514700022526085,0.11368900001980364,1.0,0.9647967999335378,349.96175240003504,6.097119399928488,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
21,0,21,0,,,,,,,,,,,,,,,,,,351.0620380999753,0.00027130008675158024,0.0993051000405103,357.06168899999466,5.999232500093058,357.1784847000381,0.01648590003605932,0.11600890010595322,6.015786400064826,363.2784005999565,0.018633400090038776,0.11597580008674413,2.0,3.664590199943632,363.1783913000254,6.099297099979594,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
