loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.9148133485578,0.0008783997036516666,0.1095473999157548,20.243406200315803,20.510087930131704,20.82669540029019,21.109965430106968,21.709999930113554,22.043355900328606,0.01108929980546236,0.10963139962404966,37.05993050010875,15.026467199902982,37.14334170008078,0.009704499505460262,0.10972439963370562,37.61001820024103,space,1.5844805999659002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.15936140017584,339.15936140017584,0.00751660019159317,0.0989461001008749,7.0,1.9255079003050923,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1259876000695,341.1259876000695,0.006652200128883123,0.09930230025202036,1.0,3.5603303001262248,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.7259654002264,344.7259654002264,0.006852699909359217,0.09923580009490252,2.0,6.826615599915385,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.5927283000201,351.5927283000201,0.008377100341022015,0.0987753001973033,6.0,2.5913154003210366,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.2430773000233,354.2430773000233,0.00804049987345934,0.1141745001077652,6.0,3.77378850011155,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.0426924000494,358.0426924000494,0.0069148000329732895,0.09819140005856752,6.0,1.6922304998151958,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.7762222001329,359.7762222001329,0.0015322002582252026,0.09840120002627373,2.0,4.497689400333911,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,364.3094810000621,0.0002758000046014786,0.0978526002727449,370.3092833003029,6.031113800127059,370.50919339992106,370.50919339992106,0.09703310020267963,0.19799270015209913,6.031061300076544,376.60923290019855,376.60923290019855,376.60923290019855,0.09188009984791279,0.19763189973309636,382.3092376999557,382.5092752999626,6.03111739968881,6.131055899895728,388.5092458999716,12.03107969975099,388.64256250020117,388.64256250020117,0.03125969972461462,0.1310481997206807,down,2.5351795996539295,391.22611050028354,5.069980397820473e-05,0.09772179974243045,397.2427354999818,397.2427354999818,397.2427354999818,0.010178099852055311,0.11441449960693717,7.0,3.8727540001273155,,,,,,,376.50928070023656,376.50928070023656,388.60923830000684,388.60923830000684,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.1425735000521,401.1425735000521,0.007803599815815687,0.09752850001677871,5.0,5.657141299918294,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.84244470018893,406.84244470018893,0.00558330025523901,0.09950269991531968,4.0,3.828070200048387,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
