loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.96018399996683,333.96018399996683,0.006477300077676773,0.09822730021551251,1.0,0.8933220002800226,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.9103760002181,334.9103760002181,0.007961700204759836,0.11424050014466047,6.0,2.4083530004136264,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.343729800079,337.343729800079,0.0071494001895189285,0.09797400003299117,7.0,1.3587096999399364,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.7434975998476,338.7434975998476,0.0067368000745773315,0.09876850014552474,2.0,1.6928670997731388,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.4770360002294,340.4770360002294,0.0021265996620059013,0.09733579959720373,1.0,3.096409600228071,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,343.59360209992155,9.410036727786064e-05,0.09969520010054111,349.59362050006166,6.016182099934667,349.7935251998715,349.7935251998715,0.07599320029839873,0.18310899985954165,6.016164800152183,355.89366349997,355.89366349997,355.89366349997,0.0729402001015842,0.1828311001881957,361.59357699984685,361.7934695002623,6.016048199962825,6.116156000178307,367.79353829985484,12.016122499946505,367.89372469997033,367.89372469997033,367.92692140024155,367.92692140024155,0.01644290005788207,0.1160971000790596,up,0.6309418003074825,368.59358250023797,3.789970651268959e-05,0.09776389971375465,374.5934962001629,374.5934962001629,374.5934962001629,0.008039199747145176,0.09787030005827546,4.0,3.6908278996124864,,,,,,,355.7936563002877,355.7936563002877,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.34388699987903,378.34388699987903,0.008690000046044588,0.11342819966375828,2.0,4.539185599889606,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.91018280014396,382.91018280014396,0.006954999640583992,0.09819579962641001,1.0,1.758854600135237,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.72706330008805,384.72706330008805,0.008440299890935421,0.11428490001708269,5.0,2.6402175999246538,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.39347829995677,387.39347829995677,0.006621500011533499,0.09926920011639595,2.0,2.3604415003210306,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.79365010000765,389.79365010000765,0.00774300005286932,0.09826670028269291,4.0,4.558194600045681,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.39343900000677,394.39343900000677,0.00856740027666092,0.09787070006132126,2.0,2.1236148001626134,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.56020059995353,396.56020059995353,0.0014318996109068394,0.09737719967961311,7.0,14.663617399986833,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,411.2602984998375,0.0003394000232219696,0.09749349998310208,417.27688860008493,6.014157199766487,417.4600729001686,417.4600729001686,0.08655219990760088,0.19737569987773895,6.030799199827015,423.5601828000508,423.5601828000508,423.5601828000508,0.09494619956240058,0.19779819948598742,429.260234599933,429.46028150012717,6.031005599536002,6.130789399612695,435.46028100000694,12.031004899647087,435.5600731000304,435.5600731000304,435.5934639000334,435.5934639000334,0.030908099375665188,0.130800299346447,down,0.43629790004342794,436.09344920003787,4.6700239181518555e-05,0.09776400029659271,442.10996610019356,442.10996610019356,442.10996610019356,0.008992299903184175,0.11425290023908019,1.0,1.77323600044474,,,,,,,423.46031069988385,423.46031069988385,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.9099423000589,443.9099423000589,0.006656500045210123,0.09901869995519519,7.0,1.4932989003136754,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
6,0,6,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.44339030003175,445.44339030003175,0.007452799938619137,0.09782359981909394,5.0,2.824911099858582,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
