loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.13653450198472,0.0008327998220920563,0.1278651999309659,34.73564970018342,35.352455200068654,35.66913119982928,35.95239649983123,36.28571459976956,36.28571459976956,0.0137491999194026,0.1278776996769011,51.26894890004769,15.027772299479693,51.36903200019151,0.011226899456232786,0.11119739944115281,51.83574629994109,space,2.2058537998236716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.51916120015085,316.51916120015085,0.007441699970513582,0.09796079993247986,2.0,1.724876900203526,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.2858633999713,318.2858633999713,0.006600500084459782,0.09954030020162463,6.0,0.9603683999739587,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.28595029981807,319.28595029981807,0.0016169003210961819,0.09805270005017519,6.0,8.93083760002628,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,328.2527002999559,0.0002771001309156418,0.09799010027199984,334.26915019983426,6.014556100126356,334.4355398998596,334.4355398998596,0.08345660008490086,0.1812208998017013,6.014654600061476,340.5358477998525,340.5358477998525,340.5358477998525,0.07820890005677938,0.18140569981187582,346.2357843997888,346.43577509978786,6.014612100087106,6.1146125998348,352.4357985998504,12.01460439991206,352.53577220020816,352.53577220020816,352.569134300109,352.569134300109,0.014763799961656332,0.11457959981635213,up,0.5605298997834325,353.16911790007725,3.7400051951408386e-05,0.0978061999194324,359.1858377000317,359.1858377000317,0.009566799737513065,0.11461000004783273,5.0,2.540060699917376,,,,,,,340.4360377998091,340.4360377998091,359.1858377000317,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.7524007000029,361.7524007000029,0.006842100061476231,0.09895100025460124,3.0,3.2930532000027597,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.085775999818,365.085775999818,0.00656279968097806,0.09932159958407283,5.0,2.727255600038916,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.85238589998335,367.85238589998335,0.00716949999332428,0.09819049993529916,3.0,2.0588452997617424,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.9694054001011,369.9694054001011,0.00804120022803545,0.11447199992835522,6.0,1.2407490997575223,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.235734899994,371.235734899994,0.0065957000479102135,0.09930980019271374,4.0,5.060386499855667,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.33575849980116,376.33575849980116,0.006794400047510862,0.09923270018771291,2.0,7.760101899970323,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
