loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.30455050000455,283.30455050000455,0.0089637000055518,0.11411530000623316,6.0,1.5061887000047136,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.8544694999873,284.8544694999873,0.008437099982984364,0.11434289999306202,2.0,2.706607799977064,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.5879772999906,287.5879772999906,0.0011770999990403652,0.0980695000034757,7.0,3.99800670001423,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,291.6210594000004,0.00041149999015033245,0.09734819998266175,297.62105509999674,6.030708299978869,297.8043443999777,297.8043443999777,0.08095889998367056,0.18089159997180104,6.013981199997943,303.90456500000437,303.90456500000437,303.90456500000437,0.06573719996958971,0.18086889997357503,309.6042985999957,309.8043637999799,6.014077899977565,6.113983099989127,315.8043847999943,12.014039399975445,315.937686499994,315.937686499994,0.014119399973424152,0.11391459996229969,up,0.5078062000102364,316.50440489998437,4.539999645203352e-05,0.09791949999635108,322.52110489999177,322.52110489999177,0.009255099983420223,0.11463199998252094,6.0,4.172954700014088,,,,,,,315.90429679999943,315.90429679999943,303.80433809998794,303.80433809998794,,322.52110489999177,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.7209447999776,326.7209447999776,0.007833500014385208,0.098131500009913,6.0,3.791233200026909,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.5541213999968,330.5541213999968,0.006856599997263402,0.09927119998610578,7.0,3.660307100013597,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.27103169998736,334.27103169998736,0.009316099982243031,0.11473669999395497,1.0,3.3063901999848895,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.6210848999908,337.6210848999908,0.009054299996932968,0.11380009999265894,2.0,6.13916109999991,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.78758039997774,343.78758039997774,0.00717990001430735,0.09811980000813492,1.0,1.6920681999763474,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.537736600003,345.537736600003,0.009312400012277067,0.11482509999768808,4.0,1.70650050000404,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
